observed_timestamp,RCM-direction_deg
2019-05-02 13:06:54+00:00,111.921
2019-05-02 13:16:54+00:00,179.715
2019-05-02 13:26:54+00:00,25.786
2019-05-02 13:36:54+00:00,334.332
2019-05-02 13:46:54+00:00,318.038
2019-05-02 13:56:54+00:00,312.055
2019-05-02 14:06:54+00:00,234.386
2019-05-02 14:16:54+00:00,340.269
2019-05-02 14:26:54+00:00,317.831
2019-05-02 14:36:54+00:00,299.701
2019-05-02 14:46:54+00:00,293.288
2019-05-02 14:56:54+00:00,300.604
2019-05-02 15:06:54+00:00,327.641
2019-05-02 15:16:54+00:00,352.295
2019-05-02 15:26:54+00:00,0.019
2019-05-02 15:36:54+00:00,128.242
2019-05-02 15:46:54+00:00,15.248
2019-05-02 15:56:54+00:00,0.597
2019-05-02 16:06:54+00:00,43.462
2019-05-02 16:16:54+00:00,26.324
2019-05-02 16:26:54+00:00,6.058
2019-05-02 16:36:54+00:00,23.166
2019-05-02 16:46:54+00:00,36.726
2019-05-02 16:56:54+00:00,71.758
2019-05-02 17:06:54+00:00,85.84
2019-05-02 17:16:54+00:00,121.417
2019-05-02 17:26:54+00:00,122.317
2019-05-02 17:36:54+00:00,153.22
2019-05-02 17:46:54+00:00,124.019
2019-05-02 17:56:54+00:00,139.837
2019-05-02 18:06:54+00:00,108.785
2019-05-02 18:16:54+00:00,108.579
2019-05-02 18:26:54+00:00,178.105
2019-05-02 18:36:54+00:00,198.04
2019-05-02 18:46:54+00:00,193.179
2019-05-02 18:56:54+00:00,185.228
2019-05-02 19:06:54+00:00,253.877
2019-05-02 19:16:54+00:00,308.925
2019-05-02 19:26:54+00:00,314.193
2019-05-02 19:36:54+00:00,328.464
2019-05-02 19:46:54+00:00,285.055
2019-05-02 19:56:54+00:00,316.888
2019-05-02 20:06:54+00:00,342.778
2019-05-02 20:16:54+00:00,330.713
2019-05-02 20:26:54+00:00,348.59
2019-05-02 20:36:54+00:00,358.19
2019-05-02 20:46:54+00:00,336.138
2019-05-02 20:56:54+00:00,338.167
2019-05-02 21:06:54+00:00,352.826
2019-05-02 21:16:54+00:00,351.986
2019-05-02 21:26:54+00:00,6.477
2019-05-02 21:36:54+00:00,357.624
2019-05-02 21:46:54+00:00,9.589
2019-05-02 21:56:54+00:00,8.925
2019-05-02 22:06:54+00:00,9.285
2019-05-02 22:16:54+00:00,32.46
2019-05-02 22:26:54+00:00,22.81
2019-05-02 22:36:54+00:00,358.772
2019-05-02 22:46:54+00:00,1.651
2019-05-02 22:56:54+00:00,359.735
2019-05-02 23:06:54+00:00,10.329
2019-05-02 23:16:54+00:00,358.864
2019-05-02 23:26:54+00:00,0.881
2019-05-02 23:36:54+00:00,16.405
2019-05-02 23:46:54+00:00,9.74
2019-05-02 23:56:54+00:00,21.016
2019-05-03 00:06:54+00:00,34.646
2019-05-03 00:16:54+00:00,24.839
2019-05-03 00:26:54+00:00,342.669
2019-05-03 00:36:54+00:00,319.919
2019-05-03 00:46:54+00:00,322.016
2019-05-03 00:56:54+00:00,315.704
2019-05-03 01:06:54+00:00,312.521
2019-05-03 01:16:54+00:00,326.723
2019-05-03 01:26:54+00:00,310.375
2019-05-03 01:36:54+00:00,326.741
2019-05-03 01:46:54+00:00,327.334
2019-05-03 01:56:54+00:00,342.007
2019-05-03 02:06:54+00:00,323.525
2019-05-03 02:16:54+00:00,312.934
2019-05-03 02:26:54+00:00,306.828
